"","run","samples","edays","egord","xseed","yseed","degord","nobjects","dev","type","k"
"334",4,11,27.6525,0.828702843192064,40.5839801608117,29.4167737918251,1.08333333333333,1,0.254630490141269,"IXT",10
"335",5,32,27.6525,2.41077190746782,37.5129311350105,14.4154153630469,1.08333333333333,1,-1.32743857413449,"IXT",10
"336",6,27,27.6525,2.03408879692597,19.0188057065201,34.1316029411414,1.08333333333333,1,-0.950755463592641,"IXT",10
"337",7,58,27.6525,4.36952408228543,21.6123585212831,14.1915750192624,1.08333333333333,1,-3.28619074895209,"IXT",10
"338",8,62,27.6525,4.67087057071891,19.3784050993322,17.9816696691964,1.08333333333333,1,-3.58753723738557,"IXT",10
"339",9,11,27.6525,0.828702843192064,44.5684606978246,23.1481763344884,1.08333333333333,1,0.254630490141269,"IXT",10
"340",10,35,27.6525,2.63678177379293,12.1173073014164,10.2963198057141,1.08333333333333,1,-1.5534484404596,"IXT",10
"341",11,35,27.6525,2.63678177379293,16.2055727488599,33.4593868729556,1.08333333333333,1,-1.5534484404596,"IXT",10
"342",12,51,27.6525,3.84216772752684,13.8941606489409,33.3657441162481,1.08333333333333,1,-2.75883439419351,"IXT",10
"343",13,27,27.6525,2.03408879692597,33.9814845247347,22.4296170107342,1.08333333333333,1,-0.950755463592641,"IXT",10
"344",14,43,27.6525,3.23947475065989,25.9525170440456,23.5889734113553,1.08333333333333,1,-2.15614141732655,"IXT",10
"345",15,46,27.6525,3.46548461698499,20.5723617867633,12.2531300860309,1.08333333333333,1,-2.38215128365166,"IXT",10
"346",1,19,27.6525,1.43139582005902,44.8468685462477,53.8754340335623,1.08333333333333,1,-0.348062486725686,"IXT",20
"347",2,13,27.6525,0.979376087408803,14.2000059934894,54.8621262855424,1.08333333333333,1,0.103957245924531,"IXT",20
"348",3,22,27.6525,1.65740568638413,42.2490786024321,44.5003038863618,1.08333333333333,1,-0.574072353050794,"IXT",20
"349",4,11,27.6525,0.828702843192064,33.1309865385318,24.7471891079804,1.08333333333333,1,0.254630490141269,"IXT",20
"350",5,13,27.6525,0.979376087408803,35.5135946982594,26.4322459160067,1.08333333333333,1,0.103957245924531,"IXT",20
"351",6,17,27.6525,1.28072257584228,28.5084119596192,19.6227055083125,1.08333333333333,1,-0.197389242508947,"IXT",20
"352",7,15,27.6525,1.13004933162554,16.9949906099754,38.7835751386449,1.08333333333333,1,-0.0467159982922083,"IXT",20
"353",8,15,27.6525,1.13004933162554,21.4892894102529,22.3605466756899,1.08333333333333,1,-0.0467159982922083,"IXT",20
"354",9,14,27.6525,1.05471270951717,50.6545762304306,16.4273780037936,1.08333333333333,1,0.0286206238161613,"IXT",20
"355",10,17,27.6525,1.28072257584228,40.7454669865139,46.645289882643,1.08333333333333,1,-0.197389242508947,"IXT",20
"356",11,18,27.6525,1.35605919795065,41.7510093509739,41.2044327305379,1.08333333333333,1,-0.272725864617317,"IXT",20
"357",12,16,27.6525,1.20538595373391,49.0875784841579,19.2388173624597,1.08333333333333,1,-0.122052620400578,"IXT",20
"358",13,13,27.6525,0.979376087408803,26.8540587396832,54.8696064855754,1.08333333333333,1,0.103957245924531,"IXT",20
"359",14,13,27.6525,0.979376087408803,12.6977739883055,13.3560167370479,1.08333333333333,1,0.103957245924531,"IXT",20
"360",15,18,27.6525,1.35605919795065,40.7948908903068,52.4904091162598,1.08333333333333,1,-0.272725864617317,"IXT",20
"361",1,13,27.6525,0.979376087408803,47.76187,13.04839,1.08333333333333,1,0.103957245924531,"IXT",100
"362",2,13,27.6525,0.979376087408803,29.17817,17.81006,1.08333333333333,1,0.103957245924531,"IXT",100
"363",3,16,27.6525,1.20538595373391,28.92645,26.50884,1.08333333333333,1,-0.122052620400578,"IXT",100
"364",4,19,27.6525,1.43139582005902,14.44641,42.61537,1.08333333333333,1,-0.348062486725686,"IXT",100
"365",5,19,27.6525,1.43139582005902,47.10243,18.59212,1.08333333333333,1,-0.348062486725686,"IXT",100
"366",6,13,27.6525,0.979376087408803,49.20992,42.05153,1.08333333333333,1,0.103957245924531,"IXT",100
"367",7,8,27.6525,0.602692976866955,10.05336,49.39608,1.08333333333333,1,0.480640356466378,"IXT",100
"368",8,17,27.6525,1.28072257584228,48.00961,47.73872,1.08333333333333,1,-0.197389242508947,"IXT",100
"369",9,15,27.6525,1.13004933162554,29.55232,14.99711,1.08333333333333,1,-0.0467159982922083,"IXT",100
"370",10,13,27.6525,0.979376087408803,35.05731,19.57924,1.08333333333333,1,0.103957245924531,"IXT",100
"371",11,14,27.6525,1.05471270951717,33.64175,28.07444,1.08333333333333,1,0.0286206238161613,"IXT",100
"372",12,13,27.6525,0.979376087408803,20.83981,40.40588,1.08333333333333,1,0.103957245924531,"IXT",100
"373",13,11,27.6525,0.828702843192064,15.77016,49.5794,1.08333333333333,1,0.254630490141269,"IXT",100
"374",14,20,27.6525,1.50673244216739,14.1429,29.76524,1.08333333333333,1,-0.423399108834055,"IXT",100
"375",15,8,27.6525,0.602692976866955,37.70383,37.59499,1.08333333333333,1,0.480640356466378,"IXT",100
"376",1,40,27.6525,3.01346488433478,18.0755244303611,54.8899730045124,0.541664694280079,1,-2.4718001900547,"IXT",2.5
"377",2,30,27.6525,2.26009866325108,16.8679629886218,53.6777410600995,0.541664694280079,1,-1.718433968971,"IXT",2.5
"378",3,26,27.6525,1.95875217481761,18.047244975268,54.16701653604,0.541664694280079,1,-1.41708748053753,"IXT",2.5
"379",4,42,27.6525,3.16413812855152,15.1974216085997,53.806257684663,0.541664694280079,1,-2.62247343427144,"IXT",2.5
"380",5,31,27.6525,2.33543528535945,17.9832877481303,54.3061250548198,0.541664694280079,1,-1.79377059107937,"IXT",2.5
"381",6,39,27.6525,2.93812826222641,10.8049368817905,18.139507210709,0.541664694280079,1,-2.39646356794633,"IXT",2.5
"382",7,29,27.6525,2.18476204114271,14.052752480281,52.5484811774612,0.541664694280079,1,-1.64309734686263,"IXT",2.5
"383",8,34,27.6525,2.56144515168456,13.2529381256932,53.4090982812807,0.541664694280079,1,-2.01978045740448,"IXT",2.5
"384",9,29,27.6525,2.18476204114271,19.2597391600302,52.929474489486,0.541664694280079,1,-1.64309734686263,"IXT",2.5
"385",10,28,27.6525,2.10942541903434,17.2454012310175,54.4569711634914,0.541664694280079,1,-1.56776072475427,"IXT",2.5
